DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
3,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
5.5,,,,95.71,,,,,,,,,,,
6,,,,94.05,,,,,,,,,,,
6.5,,,,90.42,,,,,,,,,,,
7,,,,90.69,,,,,,,,,,,
7.5,,,,90.11,,,,,,,,,,,
8,,,,85.63,,,,,,,,,,,
8.5,,,,80.1,,,,,,,,,,,
9,,,,76.06,,,,,,,,,,,
9.5,,,,71.41,,,,,,,,,,,
10,,,,67.5,,,,,,,,,,,
10.5,,,,68.06,,,,,,,,,,,
11,,,,71.3,,,,,,,,,,,
11.5,,,,73.83,,,,,,,,,,,
12,,,,74.91,,,,,,,,,,,
12.5,,,,76.64,,,,,,,,,,,
13,,2.25,,77.31,,,,,,,,,,,
13.5,,2.25,,80.1,,,,,,,,,,,
14,,2.25,,81.76,,,,0.04,,,,,,,
14.5,,2.25,,73.01,,,,-0.09,,,,,,,
15,,2.25,,58.57,,,,-0.21,,,,,,,
15.5,,2.25,,47.09,,,,-0.3,,,,,,,
16,,2.25,,39.79,,,,-0.35,,,,,,,
16.5,,2.25,,37.32,,,,-0.33,,,,,,,
17,,2.25,,38.57,,,,-0.33,,,,,,,
17.5,,2.25,,40.44,,,,-0.36,,,,,,,
18,,2.25,,41.98,,,,-0.42,,,,,,,
18.5,,2.25,,42.79,,,,-0.53,,,,,,,
19,,2.25,,41.76,,,,-0.62,,,,,,,
19.5,,2.25,,39.87,,,,-0.67,,,,,,,
20,,2.25,,37.03,,,,-0.68,,,,,,,
20.5,,2.25,,36.3,,,,-0.68,,,,,,,
21,,2.25,,37.26,,,,-0.76,,,,,,,
21.5,,2.25,,36.16,,,,-1.13,,,,,,,
22,,2.25,,34.53,,,,-1.57,,,,,,,
22.5,,2.25,2.25,35.34,,,,-1.7,,,,,,,
23,,2.25,2.25,43.67,,,,-1.56,,,,,,,
23.5,,2.25,2.25,45.56,,,,-1.22,-6.31,,,,1.35,2.82,5.45
24,,2.25,2.25,45.46,,,,-0.95,-16.31,,,,1.46,2.99,5.53
24.5,,2.25,2.25,44.08,,,,-0.88,-21.33,,,,1.52,3.07,5.54
25,,2.25,2.25,43.6,,,,-0.89,-23.76,,,,1.55,3.12,5.54
25.5,,2.25,2.25,45.63,,,,-0.88,-24.01,,,,1.55,3.12,5.54
26,,2.25,2.25,47.72,,,,-0.83,-23.2,,,,1.53,3.11,5.52
26.5,,2.25,2.25,48.47,,,,-0.77,-22.92,,,,1.52,3.1,5.49
27,,2.25,2.25,47.71,,,,-0.73,-23.29,,,,1.51,3.11,5.47
27.5,,2.25,2.25,48.59,,,,-0.73,-23.87,,,,1.52,3.12,5.54
28,,2.25,2.25,51.33,,,,-0.77,-24.79,,,,1.53,3.13,5.6
28.5,,2.25,2.25,49.7,,,,-0.87,-24.94,,,,1.52,3.14,5.59
29,,2.25,2.25,42.16,,,,-1.02,-25.89,,,,1.52,3.15,5.58
29.5,,,2.25,36.2,,,,,-28.47,,,,1.54,3.2,5.55
30,,,2.25,38.72,,,,,-29.78,,,,1.53,3.22,5.5
30.5,,,2.25,45.75,,,,,-27.25,,,,1.47,3.18,5.47
31,,,2.25,47.7,,,,,-25.11,,,,1.39,3.14,5.42
31.5,,6.97,2.25,45.21,,,,-2.01,-24.27,,,,1.31,3.13,5.31
32,,6.97,2.25,42.84,,,,-2.04,-21.25,,,,1.16,3.07,5.12
32.5,,6.97,2.25,36.6,,,,-2.14,-12.9,,,,0.91,2.93,4.87
33,,6.97,2.25,30.97,,,,-2.21,-3.7,,,,0.67,2.77,4.66
33.5,,6.97,2.25,31.54,,,,-2.22,0.57,,,,0.55,2.7,4.6
34,,6.97,2.25,34.1,,,,-2.18,2.65,,,,0.48,2.66,4.59
