DEPTH,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
954,4.5,2.71,0,,,,,,,
953.5,4.5,2.71,0,,,,33.896,,,
953,4.5,2.71,0,,,,33.8578,,,2.0088
952.5,4.5,2.71,0,,,,33.3397,,,2.0956
952,4.5,2.71,0,,,,30.6276,,,2.8202
951.5,4.5,2.71,0,,,,25.1417,,,4.6252
951,4.5,2.71,0,,,,20.8623,,,6.0274
950.5,4.5,2.71,0,,,,19.4311,,,6.4426
950,4.5,2.71,0,,,,18.9469,,,6.5692
949.5,4.5,2.71,0,,,,18.8712,,,6.6157
949,4.5,2.71,0,,,,19.034,,,6.6222
948.5,4.5,2.71,0,,,,18.9819,,,6.6303
948,4.5,2.71,0,,,,18.9553,,,6.6364
947.5,4.5,2.71,0,,158.4795,,18.8521,0,,6.6338
947,4.5,2.71,0,,158.332,,18.5919,0.0025,,6.6401
946.5,4.5,2.71,0,,155.157,,18.652,0.0568,,6.6559
946,4.5,2.71,0,,129.1756,,18.9831,0.5011,,6.6604
945.5,4.5,2.71,0,0.6856,48.9433,,18.8341,1.8731,0,6.6565
945,4.5,2.71,0,0.7859,-39.3721,,18.4207,3.3833,-0.9495,6.653
944.5,4.5,2.71,0,1.6228,-58.7853,,18.4033,3.7152,-0.1945,6.6412
944,4.5,2.71,0.0117,3.7043,-34.0857,,18.6909,3.2929,0.1534,6.6251
943.5,4.5,2.71,0.0521,5.2939,-8.8601,,18.8289,2.8615,0.2237,6.6218
943,4.5,2.71,0.1006,5.7331,5.2367,,18.8942,2.6205,0.2016,6.6345
942.5,4.5,2.71,0.1527,5.9164,9.5888,,19.1051,2.546,0.1968,6.6503
942,4.5,2.71,0.2072,6.042,9.0242,,19.1702,2.5557,0.2139,6.6596
941.5,4.5,2.71,0.2624,6.0775,8.0709,,19.0276,2.572,0.2317,6.6638
941,4.5,2.71,0.3177,6.0834,8.7836,,19.1687,2.5598,0.2248,6.6657
940.5,4.5,2.71,0.3732,6.0908,10.4064,,19.878,2.532,0.2141,6.6641
940,4.5,2.71,0.4292,6.1201,11.5887,,21.0875,2.5118,0.2014,6.6628
939.5,4.5,2.71,0.4862,6.1783,11.9467,,22.2827,2.5057,0.1796,6.6639
939,4.5,2.71,0.5445,6.2413,11.5153,,22.7889,2.5131,0.1634,6.6656
938.5,4.5,2.71,0.6036,6.2848,10.3872,,22.7997,2.5324,0.1602,6.6724
938,4.5,2.71,0.6633,6.3005,8.8274,,22.6594,2.5591,0.1598,6.6863
937.5,4.5,2.71,0.7232,6.3022,7.4327,,22.3608,2.5829,0.1607,6.6981
937,4.5,2.71,0.7831,6.3012,6.9863,,22.1642,2.5905,0.1729,6.704
936.5,4.5,2.71,0.843,6.3026,7.3323,,22.0659,2.5846,0.1752,6.6986
936,4.5,2.71,0.9028,6.3054,7.1914,110.4512,22.08,2.587,0.1705,6.6838
935.5,4.5,2.71,0.9623,6.3063,6.2088,110.3724,22.3026,2.6038,0.1865,6.675
935,4.5,2.71,1.0218,6.3032,5.6302,108.5723,22.6259,2.6137,0.2089,6.6756
934.5,4.5,2.71,1.0815,6.2992,6.3913,106.5789,22.8044,2.6007,0.2159,6.6866
934,4.5,2.71,1.1413,6.2955,8.1731,112.9968,22.4601,2.5702,0.2076,6.6985
933.5,4.5,2.71,1.2012,6.2944,9.8781,122.4206,21.5135,2.5411,0.1899,6.7063
933,4.5,2.71,1.2612,6.2968,10.2496,123.7526,20.8065,2.5347,0.1768,6.7097
932.5,4.5,2.71,1.3211,6.2981,8.6568,115.5572,20.0721,2.562,0.1766,6.7058
932,4.5,2.71,1.3808,6.2982,5.2846,99.8517,18.8474,2.6196,0.1794,6.6888
931.5,4.5,2.71,1.4402,6.2992,0.8761,84.0013,17.4681,2.695,0.1739,6.6725
931,4.5,2.71,1.4996,6.2994,-2.9497,81.208,16.9475,2.7604,0.1852,6.6762
930.5,4.5,2.71,1.5594,6.299,-4.0971,90.5624,17.9778,2.7801,0.2064,6.6926
930,4.5,2.71,1.6193,6.2983,-2.0617,102.0186,19.2757,2.7453,0.2153,6.7042
929.5,4.5,2.71,1.679,6.2977,1.5066,106.4227,19.7048,2.6842,0.2165,6.6939
929,4.5,2.71,1.7384,6.2989,4.555,102.0308,19.509,2.6321,0.2013,6.6718
928.5,4.5,2.71,1.7976,6.2997,5.9238,98.9142,18.9333,2.6087,0.1789,6.657
928,4.5,2.71,1.8565,6.2993,5.8907,102.8806,18.3354,2.6093,0.1787,6.6442
927.5,4.5,2.71,1.9152,6.2988,5.8747,106.7686,18.4598,2.6095,0.1942,6.6304
927,4.5,2.71,1.9736,6.2978,6.807,107.5833,18.9119,2.5936,0.1963,6.6199
926.5,4.5,2.71,2.032,6.2982,8.1726,111.6727,19.4513,2.5702,0.19,6.6161
926,4.5,2.71,2.0906,6.3005,8.9936,111.9907,19.8215,2.5562,0.1879,6.6235
925.5,4.5,2.71,2.1495,6.3019,9.0672,107.527,19.5056,2.555,0.1879,6.6419
925,4.5,2.71,2.2089,6.3018,8.9443,107.8928,19.0843,2.5571,0.1887,6.6656
924.5,4.5,2.71,2.2687,6.3014,9.0814,110.6719,19.3306,2.5547,0.1877,6.6944
924,4.5,2.71,2.329,6.3013,9.4377,107.6281,19.6337,2.5486,0.1762,6.7233
923.5,4.5,2.71,2.3896,6.3037,10.1672,100.4206,19.6892,2.5361,0.1663,6.7364
923,4.5,2.71,2.4499,6.3075,12.7291,93.8148,20.1648,2.4923,0.1664,6.7194
922.5,4.5,2.71,2.5099,6.3107,19.4679,91.5948,21.5252,2.3771,0.1533,6.6935
922,4.5,2.71,2.5698,6.313,30.9045,100.152,23.5072,2.1815,0.1194,6.6876
921.5,4.5,2.71,2.6299,6.3162,43.4539,118.7479,25.0285,1.9669,0.0778,6.6959
921,4.5,2.71,2.6902,6.3237,50.6861,131.4636,24.7668,1.8433,0.0357,6.6955
920.5,4.5,2.71,2.7505,6.3382,47.8787,123.1003,22.3344,1.8913,0.0189,6.6842
920,4.5,2.71,2.811,6.3517,36.5726,102.7826,19.5661,2.0846,0.0572,6.6826
919.5,4.5,2.71,2.8718,6.3563,23.9542,87.6626,17.6483,2.3004,0.1115,6.6955
919,4.5,2.71,2.9328,6.3576,15.7782,82.9129,16.9173,2.4402,0.1298,6.7022
918.5,4.5,2.71,2.9937,6.3598,12.2132,83.9371,17.7156,2.5012,0.137,6.695
918,4.5,2.71,3.0546,6.3663,11.3687,88.8788,19.4702,2.5156,0.1416,6.6872
917.5,4.5,2.71,3.1158,6.3807,12.0488,100.3939,21.3796,2.504,0.132,6.6904
917,4.5,2.71,3.1773,6.3929,13.1223,124.3528,22.5691,2.4856,0.1252,6.6945
916.5,4.5,2.71,3.2389,6.3979,13.8913,163.0629,22.9033,2.4725,0.1378,6.695
916,4.5,2.71,3.3006,6.4007,14.5926,191.3667,22.8955,2.4605,0.138,6.7005
915.5,4.5,2.71,3.3626,6.4031,15.2213,184.6929,22.7227,2.4497,0.1255,6.7138
915,4.5,2.71,3.4248,6.4038,15.3781,158.2807,22.4281,2.447,0.1223,6.723
914.5,4.5,2.71,3.487,6.4032,15.215,136.0198,21.8853,2.4498,0.1211,6.7243
914,4.5,2.71,3.5492,6.404,15.1827,123.6687,21.412,2.4504,0.1161,6.7252
913.5,4.5,2.71,3.6115,6.4038,15.2827,118.5703,21.5076,2.4487,0.1159,6.7282
913,4.5,2.71,3.6738,6.4028,15.2059,114.6518,22.1412,2.45,0.125,6.7308
912.5,4.5,2.71,3.7362,6.4047,14.914,111.7024,22.8833,2.455,0.1311,6.7332
912,4.5,2.71,3.7986,6.4063,14.6536,113.1666,23.3957,2.4594,0.1271,6.7344
911.5,4.5,2.71,3.861,6.4061,14.5263,114.8639,23.3512,2.4616,0.123,6.7346
