DEPT,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
1085.5,4.5,2.71,0.0,,,,,,,
1085.0,4.5,2.71,0.0,,,,33.3324,,,
1084.5,4.5,2.71,0.0,,,,33.2963,,,2.1572
1084.0,4.5,2.71,0.0,,,,32.8113,,,2.2027
1083.5,4.5,2.71,0.0,,,,30.3213,,,2.6477
1083.0,4.5,2.71,0.0,,,,25.4564,,,4.0555
1082.5,4.5,2.71,0.0,,,,21.9086,,,5.595
1082.0,4.5,2.71,0.0,,,,20.8586,,,6.2799
1081.5,4.5,2.71,0.0,,,,20.3607,,,6.4997
1081.0,4.5,2.71,0.0,,,,19.8854,,,6.6204
1080.5,4.5,2.71,0.0,,,,19.973,,,6.684
1080.0,4.5,2.71,0.0,,,,20.3433,,,6.6985
1079.5,4.5,2.71,0.0,,,,20.503,,,6.6952
1079.0,4.5,2.71,0.0,,158.4795,,20.3384,0.0,,6.6889
1078.5,4.5,2.71,0.0,,158.3407,,19.7429,0.0024,,6.6871
1078.0,4.5,2.71,0.0,,155.3505,,19.316,0.0535,,6.6887
1077.5,4.5,2.71,0.0,,130.8571,,19.5272,0.4723,,6.6888
1077.0,4.5,2.71,0.0,-0.2815,55.0675,,20.1677,1.7683,0.0,6.6889
1076.5,4.5,2.71,0.0,-0.2589,-28.7697,,20.6055,3.202,-1.2931,6.6893
1076.0,4.5,2.71,0.0,0.0381,-47.7419,,20.9552,3.5264,-0.4315,6.69
1075.5,4.5,2.71,0.0,1.5467,-24.5962,,21.1906,3.1306,-0.0253,6.6919
1075.0,4.5,2.71,0.0254,4.4166,-0.4739,,21.1452,2.7181,0.074,6.6922
1074.5,4.5,2.71,0.0851,6.2973,13.5006,,20.9682,2.4791,0.0654,6.6918
1074.0,4.5,2.71,0.152,6.6934,19.0005,,20.8344,2.3851,0.0629,6.6926
1073.5,4.5,2.71,0.2194,6.7193,20.7291,,20.671,2.3555,0.062,6.6932
1073.0,4.5,2.71,0.2869,6.7209,21.7713,,20.7493,2.3377,0.0538,6.6933
1072.5,4.5,2.71,0.3544,6.7199,22.7774,,21.1574,2.3205,0.0506,6.6947
1072.0,4.5,2.71,0.4218,6.7178,23.7727,,20.9886,2.3035,0.0468,6.6963
1071.5,4.5,2.71,0.4893,6.7169,24.8355,,20.1721,2.2853,0.0347,6.6978
1071.0,4.5,2.71,0.5567,6.7176,25.4012,,19.9623,2.2756,0.024,6.6969
1070.5,4.5,2.71,0.6242,6.7211,24.7316,,20.1884,2.2871,0.0306,6.6946
1070.0,4.5,2.71,0.6917,6.7233,23.2441,,20.1637,2.3125,0.0468,6.6943
1069.5,4.5,2.71,0.7593,6.723,22.036,,19.9691,2.3332,0.0507,6.6957
1069.0,4.5,2.71,0.8268,6.7222,21.5078,,19.7902,2.3422,0.0392,6.6956
1068.5,4.5,2.71,0.8943,6.7218,21.46,,19.7356,2.343,0.0293,6.6946
1068.0,4.5,2.71,0.9618,6.7229,21.7055,,19.7369,2.3388,0.0208,6.6968
1067.5,4.5,2.71,1.0295,6.724,21.9722,50.6193,19.9305,2.3343,0.0109,6.6998
1067.0,4.5,2.71,1.0971,6.725,21.8231,53.618,20.2189,2.3368,0.013,6.6988
1066.5,4.5,2.71,1.1647,6.7264,20.9729,55.629,19.9805,2.3514,0.0339,6.6965
1066.0,4.5,2.71,1.2323,6.7274,19.7146,51.7719,19.0706,2.3729,0.0524,6.6959
1065.5,4.5,2.71,1.2999,6.7266,18.9152,47.5948,18.2493,2.3865,0.0501,6.6959
1065.0,4.5,2.71,1.3676,6.7254,19.2513,46.0595,17.8953,2.3808,0.0411,6.6981
1064.5,4.5,2.71,1.4352,6.7243,20.6628,43.7516,18.4337,2.3567,0.041,6.6983
1064.0,4.5,2.71,1.5027,6.7215,22.5431,42.3588,19.5411,2.3245,0.0404,6.6961
1063.5,4.5,2.71,1.5701,6.7201,24.1143,46.337,20.1184,2.2976,0.0276,6.6949
1063.0,4.5,2.71,1.6376,6.7211,24.842,53.1513,20.4591,2.2852,0.0194,6.6936
1062.5,4.5,2.71,1.7051,6.7212,24.7952,55.0601,20.9751,2.286,0.0214,6.6944
1062.0,4.5,2.71,1.7726,6.7215,24.4822,54.5515,20.9859,2.2914,0.0253,6.6956
1061.5,4.5,2.71,1.8401,6.7218,24.2198,55.5392,20.4006,2.2958,0.0235,6.6966
1061.0,4.5,2.71,1.9077,6.7214,23.8833,55.2984,20.2061,2.3016,0.0242,6.6975
1060.5,4.5,2.71,1.9752,6.7206,23.367,53.8034,20.5714,2.3104,0.0333,6.6971
1060.0,4.5,2.71,2.0427,6.7203,22.7345,54.6013,20.6269,2.3212,0.0317,6.6964
1059.5,4.5,2.71,2.1102,6.7211,21.8714,54.5683,20.2615,2.336,0.0275,6.6958
1059.0,4.5,2.71,2.1777,6.7215,20.995,53.4288,20.3016,2.351,0.0388,6.6963
1058.5,4.5,2.71,2.2452,6.7201,20.9827,52.4165,20.8525,2.3512,0.0497,6.6966
1058.0,4.5,2.71,2.3127,6.7195,22.0776,51.0171,21.2485,2.3325,0.0426,6.6968
1057.5,4.5,2.71,2.3802,6.7205,23.1888,49.2563,21.4282,2.3135,0.0344,6.6964
1057.0,4.5,2.71,2.4477,6.7207,23.3764,47.9166,21.4993,2.3103,0.0441,6.6965
1056.5,4.5,2.71,2.5153,6.7219,22.9834,47.3606,21.5624,2.317,0.0528,6.6977
1056.0,4.5,2.71,2.5829,6.7237,22.8083,48.9708,21.6501,2.32,0.0451,6.6992
1055.5,4.5,2.71,2.6505,6.7227,23.3256,50.4752,21.8797,2.3111,0.0382,6.7025
1055.0,4.5,2.71,2.7183,6.7209,24.6936,50.7149,22.1875,2.2877,0.0376,6.7078
1054.5,4.5,2.71,2.786,6.7191,26.4848,48.2073,22.45,2.2571,0.0391,6.7093
1054.0,4.5,2.71,2.8536,6.7163,27.7739,43.823,22.33,2.2351,0.034,6.7069
1053.5,4.5,2.71,2.9212,6.7158,28.1077,42.1955,21.6503,2.2294,0.0302,6.7058
1053.0,4.5,2.71,2.9888,6.7161,27.7833,40.7868,21.1371,2.2349,0.0296,6.7059
1052.5,4.5,2.71,3.0564,6.7169,26.8422,36.9428,20.9662,2.251,0.0287,6.7058
1052.0,4.5,2.71,3.1241,6.7199,24.8058,34.667,21.0819,2.2858,0.0263,6.7063
1051.5,4.5,2.71,3.1918,6.724,21.9673,35.8023,21.0569,2.3344,0.0226,6.7077
1051.0,4.5,2.71,3.2597,6.7256,19.9938,34.6918,20.813,2.3681,0.0319,6.7085
1050.5,4.5,2.71,3.3274,6.7239,20.0688,31.8524,20.9937,2.3668,0.0446,6.7073
1050.0,4.5,2.71,3.3951,6.7227,21.3718,31.1896,21.4429,2.3445,0.051,6.7041
1049.5,4.5,2.71,3.4627,6.7231,22.7022,30.9811,21.5733,2.3218,0.0467,6.6988
1049.0,4.5,2.71,3.5303,6.7228,23.791,30.84,21.4926,2.3032,0.0335,6.698
1048.5,4.5,2.71,3.5979,6.7227,24.6896,31.0281,21.4411,2.2878,0.0247,6.7016
1048.0,4.5,2.71,3.6656,6.7225,25.552,33.9365,21.3347,2.2731,0.0198,6.7053
1047.5,4.5,2.71,3.7334,6.7229,26.4537,40.4568,21.3573,2.2576,0.0172,6.7084
1047.0,4.5,2.71,3.8012,6.7237,27.0592,42.9822,21.4956,2.2473,0.0248,6.7111
1046.5,4.5,2.71,3.8692,6.7233,27.2416,37.4552,21.4914,2.2442,0.0383,6.7196
1046.0,4.5,2.71,3.9378,6.7205,27.4514,32.7813,21.5004,2.2406,0.0438,6.7541
1045.5,4.5,2.71,4.0069,6.719,27.8689,35.1958,21.6113,2.2334,0.034,6.7868
1045.0,4.5,2.71,4.0762,6.7201,27.9155,36.7935,21.6552,2.2326,0.0218,6.7943
1044.5,4.5,2.71,4.1455,6.7215,27.2403,33.2744,21.6247,2.2442,0.0252,6.7913
1044.0,4.5,2.71,4.2146,6.7223,26.4123,30.3109,21.4309,2.2583,0.0318,6.7855
1043.5,4.5,2.71,4.2837,6.7201,25.9144,29.6151,21.3722,2.2669,0.0385,6.7827
1043.0,4.5,2.71,4.3527,6.7186,25.5013,32.8552,21.4116,2.2739,0.0417,6.782
1042.5,4.5,2.71,4.4218,6.7208,24.9066,38.586,21.3562,2.2841,0.0404,6.7815
1042.0,4.5,2.71,4.4909,6.722,24.2444,38.3461,21.3957,2.2954,0.0324,6.7829
1041.5,4.5,2.71,4.5601,6.7224,23.6925,34.3757,21.3082,2.3049,0.0194,6.7847
1041.0,4.5,2.71,4.6293,6.7241,23.3344,33.6126,21.0163,2.311,0.0146,6.7862
1040.5,4.5,2.71,4.6985,6.7247,23.1711,35.5418,20.4282,2.3138,0.0257,6.7851
1040.0,4.5,2.71,4.7677,6.7244,23.2087,36.6556,19.9669,2.3131,0.0375,6.7822
1039.5,4.5,2.71,4.8368,6.7229,23.4601,36.1698,20.149,2.3088,0.0357,6.7825
1039.0,4.5,2.71,4.9059,6.7215,23.7973,36.4049,20.6654,2.3031,0.037,6.7845
1038.5,4.5,2.71,4.9751,6.7223,24.2051,37.0161,20.9072,2.2961,0.0472,6.7839
1038.0,4.5,2.71,5.0442,6.7237,24.7622,37.0595,20.6238,2.2866,0.0512,6.782
1037.5,4.5,2.71,5.1133,6.7229,25.2657,36.9125,20.3837,2.278,0.0513,6.7811
1037.0,4.5,2.71,5.1824,6.7203,25.482,35.215,20.2365,2.2743,0.0558,6.782
1036.5,4.5,2.71,5.2514,6.7187,25.4732,30.0505,20.1417,2.2744,0.0584,6.7836
1036.0,4.5,2.71,5.3205,6.7197,25.3564,25.4821,20.2569,2.2764,0.0536,6.7832
1035.5,4.5,2.71,5.3896,6.7204,25.1213,24.1129,20.3278,2.2804,0.0493,6.7816
1035.0,4.5,2.71,5.4586,6.7192,24.8967,23.9981,20.4921,2.2843,0.0456,6.7814
1034.5,4.5,2.71,5.5275,6.7117,24.9174,23.1561,20.7422,2.2839,0.0393,6.7787
1034.0,4.5,2.71,5.5956,6.6917,25.1896,23.0968,20.7051,2.2793,0.0378,6.7598
1033.5,4.5,2.71,5.663,6.6757,25.5923,26.1036,20.6422,2.2724,0.0359,6.7341
1033.0,4.5,2.71,5.7301,6.6751,25.9755,29.5631,20.9817,2.2658,0.0311,6.7208
1032.5,4.5,2.71,5.7972,6.6799,26.1858,29.1316,21.1377,2.2622,0.035,6.7135
1032.0,4.5,2.71,5.8642,6.6883,26.2048,25.9094,21.0435,2.2619,0.0433,6.7047
1031.5,4.5,2.71,5.9312,6.6977,25.9054,23.9107,21.2024,2.267,0.0508,6.6887
1031.0,4.5,2.71,5.9983,6.7048,25.1873,25.0795,21.4204,2.2793,0.0583,6.6908
1030.5,4.5,2.71,6.0657,6.7082,24.5886,26.5608,21.4256,2.2895,0.0578,6.7049
1030.0,4.5,2.71,6.1332,6.7089,24.7677,25.8282,21.4752,2.2865,0.0418,6.7092
1029.5,4.5,2.71,6.2008,6.7119,25.4497,24.5099,21.6452,2.2748,0.0213,6.7083
1029.0,4.5,2.71,6.2685,6.7173,25.7858,24.4981,21.3068,2.2691,0.0213,6.7094
1028.5,4.5,2.71,6.3363,6.7209,25.4729,24.9158,20.7081,2.2744,0.0321,6.7137
1028.0,4.5,2.71,6.4042,6.7226,24.9491,24.2124,20.71,2.2834,0.0389,6.7139
1027.5,4.5,2.71,6.472,6.7218,24.8093,22.7636,20.9832,2.2858,0.038,6.7111
1027.0,4.5,2.71,6.5395,6.7216,25.0839,22.6921,21.0172,2.2811,0.0253,6.6963
1026.5,4.5,2.71,6.6059,6.7239,25.2014,24.7388,21.3012,2.2791,0.0104,6.6351
1026.0,4.5,2.71,6.6709,6.7265,24.9065,26.9766,22.2782,2.2841,0.0093,6.5491
1025.5,4.5,2.71,6.7357,6.7284,24.6982,27.6609,22.9551,2.2877,0.0205,6.5458
1025.0,4.5,2.71,6.8023,6.7282,25.1559,27.0938,22.3641,2.2798,0.0299,6.6389
1024.5,4.5,2.71,6.8705,6.7258,26.1383,27.7131,21.1289,2.263,0.0281,6.7278
1024.0,4.5,2.71,6.9396,6.7255,26.8484,30.0026,20.5172,2.2509,0.0184,6.7756
1023.5,4.5,2.71,7.0089,6.7268,26.7573,28.7268,20.7095,2.2525,0.0159,6.7915
1023.0,4.5,2.71,7.0784,6.7266,26.0538,24.5946,20.9636,2.2645,0.0225,6.7962
1022.5,4.5,2.71,7.1478,6.7269,25.1918,23.0625,21.0137,2.2792,0.038,6.7976
1022.0,4.5,2.71,7.2173,6.7283,24.5829,25.3933,20.8872,2.2896,0.05,6.7962
1021.5,4.5,2.71,7.2868,6.7301,24.4515,26.9703,20.5061,2.2919,0.0438,6.7959
1021.0,4.5,2.71,7.3564,6.7307,24.6915,24.8531,20.0654,2.2878,0.0343,6.7968
1020.5,4.5,2.71,7.4259,6.729,24.9857,23.2454,20.0037,2.2827,0.0428,6.7984
1020.0,4.5,2.71,7.4954,6.7268,25.1635,23.1264,20.3657,2.2797,0.0507,6.8006
1019.5,4.5,2.71,7.565,6.7262,25.3292,23.3942,20.4029,2.2769,0.0397,6.8053
1019.0,4.5,2.71,7.6347,6.727,25.4426,25.3678,20.2705,2.2749,0.0271,6.8098
1018.5,4.5,2.71,7.7045,6.73,25.2069,28.7712,20.7201,2.279,0.0341,6.8096
1018.0,4.5,2.71,7.7743,6.7367,24.7837,30.5513,21.1959,2.2862,0.0526,6.8076
1017.5,4.5,2.71,7.8442,6.7422,24.7499,28.2694,20.8001,2.2868,0.0481,6.8058
1017.0,4.5,2.71,7.9141,6.7431,24.8404,24.7591,20.1087,2.2852,0.0209,6.8033
1016.5,4.5,2.71,7.984,6.7426,24.3671,22.164,19.9223,2.2933,0.0075,6.8018
1016.0,4.5,2.71,8.0538,6.7418,23.8911,20.7311,20.0128,2.3015,0.0201,6.8005
1015.5,4.5,2.71,8.1235,6.7416,24.3443,20.6855,20.0652,2.2937,0.0266,6.7977
1015.0,4.5,2.71,8.1933,6.7417,25.2596,19.8685,20.2201,2.2781,0.0224,6.7967
1014.5,4.5,2.71,8.2631,6.7409,25.689,20.0386,20.3325,2.2707,0.0302,6.8015
1014.0,4.5,2.71,8.333,6.7396,25.6307,22.2347,19.902,2.2717,0.038,6.8071
1013.5,4.5,2.71,8.4029,6.7399,25.5956,22.3172,19.3423,2.2723,0.0389,6.8087
1013.0,4.5,2.71,8.4728,6.7415,25.8118,22.4997,19.3527,2.2686,0.0384,6.8093
1012.5,4.5,2.71,8.5428,6.7417,26.1588,25.6068,19.9377,2.2627,0.0402,6.8098
1012.0,4.5,2.71,8.6128,6.7404,26.5533,28.2936,20.5249,2.2559,0.0475,6.8119
1011.5,4.5,2.71,8.6828,6.7395,26.9181,27.973,20.8016,2.2497,0.0434,6.8126
